他天生皮肤白，怎么晒都晒不黑。	伊/是/白肉底/，/按怎/曝/嘛/曝/袂/乌/。
用牙签剔牙齿。	用/齿戳仔/戳/喙齿/。
整条路上都是人。	规路/拢/是/人/。
县太爷先去衙门办公，才去巡视。	县爷/先/去/官厅/办公/，/才/去/巡视/。
亲戚间的交际应酬，你都有跟到。	亲情/间/的/好/歹/代志/你/拢/陪缀/有/着/。
他昨晚住院。	伊/昨暗/入院/。
高雄大树出产枣子。	高雄/的/大树/出产/枣仔/。
阿义在他们家排行老大。	阿义/是/𪜶/兄弟姊妹/内面/的/老大/。
我们店里头卖的都是高级货品。	阮/店/卖的/拢/是/高级/货/。
年轻人不要去吸食毒品，不然会很严重。	少年人/毋通/食/毒/，/若无/，/代志/会/不得了/。
一天到晚叫没钱。	一日到暗/喈/无/钱/。
这个小孩子很皮，无论你怎么打都不怕。	这/个/囡仔/诚/蛮皮/，/无论/你/按怎/拍/拢/袂/惊/。
以前这里是田，现在当停车场，听说以后要盖房子。	以早/遮/是/田/，/这马/做/停车场/，/听/讲/以后/欲/起厝/。
坐车较快，走路较慢。	坐/车/较/紧/，/行路/较/僫/。
说话声音小一点。	讲话/较/细声咧/。
这道菜很合我的胃口。	这/项/菜/有/合/我/的/气口/。
他这个人最会奉承别人。	伊/这/个/人/上/𠢕/共/人/扶挺/。
你就当作没有他的存在。	你/就/当做/无/伊/的/存在/。
咱们庙里建醮的红龟糕，每一户发一个。	咱/庙里/做醮/的/红龟粿/，/每/一/口/灶/分/一/个/。
养鸡的人差不多都会用到圈鸡的罩子。	饲/鸡/的/人/差不多/拢/会/用着/鸡罩/。
客人来了，你不快去接待，还坐在这里。	人客/来矣/，/你/毋/紧/去/接接/阁/蹛/遮/坐/。
我对这次的考试有信心。	我/对/这/摆/的/考试/有/信心/。
这周围的人都很长寿。	这箍围仔/的/人/拢/真/长寿/。
参加宴会要打扮漂亮一点。	参加/宴会/着爱/打扮/较/媠咧/。
他讲的话其中有一些蹊跷。	伊/讲/的/话/其中/有/一寡/问题/。
他把东西交给我保管。	伊/的/物件/交代/我/保管/。
他工作很多，整天都在赶工。	伊/穑头/真/济/，/透日/拢/咧/赶工/。
我都不去了，他更不可能去。	我/都/毋/去矣/，/伊/阁较/无/可能/去/。
很抱歉，这一切都是我的错。	真/失礼/，/这/拢/是/我/的/毋着/。
你难得来，多坐一会儿。	你/罕得/来/，/加/坐一时仔/。
你穿这件衣服相当漂亮。	你/穿/这/领/衫/阁/不止仔/媠/。
跑得喘不过气。	走/甲/大气/喘/袂/离/。
被我轻轻地抽打一下。	予/我/共/伊/搐一下/。
我们三年没联络了，我感觉你现在好像比较长进了。	咱/三/年/无/相揣矣/，/我/感觉/你/这马/敢若/有/较/长进/。
不要听他胡说八道。	莫/听/伊/咧/讲/一寡/嘐潲话/。
粪坑越搅越臭。	屎礐仔/空/愈/抐/愈/臭/。
老板出去收帐了。	头家/出去/收数矣/。
你去房间偷看一下，看他有没有在念书。	你/去/房间/䀐/看觅/，/看/伊/敢/有/咧/读册/。
你对政治有兴趣吗？	你/对/政治/敢/有/兴趣/？
你偷偷把东西拿进去，不要被别人看到。	你/偷偷仔/共/物件/提入去/，/毋通/予/人/看着/。
他明天要就职了。	伊/明仔载/欲/上任矣/。
药效在运作。	药气/有/咧/行/。
要怎么做，我心里有个准则。	欲/按怎/做/，/我/心内/有/谱/。
我们的工作要轮班。	阮/的/工课/爱/轮班/。
他的饮食很不正常。	伊/的/食食/诚/无/正常/。
地瓜容易生根蔓延，很好种。	番薯/𠢕/湠根/，/真/好/种/。
请你不要见怪。	请/你/莫/见怪/。
阿菊很服输，他老公欠钱跑路，他自己拼命赚钱替她老公还债。	阿菊/真/担输赢/，/𪜶/翁/欠钱/走路/，/伊/家己/拍拚/趁钱/替/𪜶/翁/还数/。
他瘸腿，走路不方便。	伊/瘸跤/，/行路/无/方便/。
父母养育小孩很辛苦。	爸母/饲/囝/真/辛苦/。
是谁把东西放在这占地方？	是/啥人/共/物件/囥/伫/遮/镇地/？
还有一些东西没整理。	犹/有/一寡仔/物件/无/整理/。
衣服用手抓揉清洗一下。	衫仔裤/搦搦咧/。
她是一个有孝行的女子。	伊/是/一/个/孝女/。
这张图很漂亮，我要描一张起来。	这/张/图/真/媠/，/我/欲/描/一/张/起来/。
无论如何都是自己的小孩，你就看开一些。	好歹/拢/是/家己/的/囝/，/你/就/看/较/开咧/。
你给我闭嘴。	你/共/我/恬去/。
他很会挑毛病。	伊/足/𠢕/蹊跷/。
这张旧相片是我无意中找到的。	这/张/旧相片/是/我/无/意/中/揣着的/。
股票的价格每天都起起落落。	股票/的/价钱/逐工/都/咧/起落/。
他是我们这里出了名的大嗓门，远远地就可以听到他的声音了。	伊/是/咱/遮/出名/的/大咙喉空/，/远远/就/会当/听着/伊/讲话/的/声矣/。
气到了极点而把桌子翻了。	气/到地矣/煞/共/桌仔/反/掉/。
我没吃早餐。	我/无/食/早起/。
一二天没剃胡子，就满脸胡须了。	一/两/日/无/剃/，/规面/就/胡胡/。
你不要在地上滚来滚去的，衣服会弄脏。	你/毋通/伫/涂跤/翱翱辗/，/衫/会/垃圾/。
你不要再生气了！	你/莫/阁/受气矣/！
叫你别说你还说，我实在要活活被你气死了！	叫/你/毋通/讲/你/阁/讲/，/我/实在/活欲/予/你/气死/！
他第一次煮的菜还不难吃。	伊/第一/摆/煮/的/菜/阁/袂/歹食/。
你去拿一些厚纸板来做纸盒子。	你/去/提/寡/纸坯/来/做/纸盒仔/。
他活到七十多岁了，还是脸色红润身体健康。	伊/食/到/七十外矣/，/犹阁/是/红膏赤蠘/。
放学回到家，他又再复习，这么认真，一定能读到牢牢记住。	放学/转来/，/伊/就/阁/馏/，/遮尔/认真/，/一定/会/读/甲/牢腹/。
他和阿仁本来感情很好，最近却为了生意的事情不合。	伊/佮/阿/仁/原本/感情/诚/好/，/近来/煞/为/着/生理/的/代志/反目/。
我已经派一辆空车去接货了。	我/已经/派/一/台/车/落空逝/去/接/货矣/。
他可以跳得很高。	伊/会当/𨀁/真/悬/。
你就是遗传到你爸爸，才会这么英俊。	你/就/是/种着/恁/老爸/，/才/会/遮/缘投/。
我们明天几点要出发？	咱/明仔载/几/点/欲/起行/？
看到没眨眼。	看/甲/无/𥍉目/。
把他的手揉一揉！	共/伊/的/手/耎耎咧/！
我们兄弟姊妹就像同一条水系流出来的一样。	咱/兄弟姊妹/就/像/仝/一/条/水脉/流出来的啦/。
我是奶奶养育成人的。	我/是/阿妈/共/我/晟养/大汉的/。
有钱就胡乱挥霍，再多也不够花！	有/钱/就/乌白/拍翸/，/较/济/嘛/无/够/开/！
这件事情较急迫，要先处理。	这/件/代志/较/迫促/，/爱/先/处理/。
他把我忘了。	伊/将/我/放/袂记得矣/。
茶苦苦的，喝不下去。	茶/苦苦/，/啉/袂/落去/。
是说，他怎么会没去。	是/讲/，/伊/哪/会/无/去/。
这种浪费钱你居然花得下去！	这/款/冤枉/钱/你/曷/开/会/落去/！
他昨晚被人砍了好几刀。	伊/昨暝/去/予/人/刣/几若/刀/。
这个小孩外型、个性都好。	这/个/囡仔/真/好/生张/。
你住在哪里？	你/蹛/伫/佗位/？
现在蔬菜这么贵实在买不下去。	这马/菜/遮尔仔/贵/实在/买/袂/落/手/。
他的嗅觉很灵敏。	伊/的/鼻/真/利/。
真抱歉，不小心撞到你。	真/歹势/，/无张持/共/你/挨着/。
杂货店在卖杂货。	杂货仔店/咧/卖/杂货/。
他是一个很出名的作家。	伊/是/一/个/真/出名/的/作家/。
这件事情到现在我还没有头绪。	这/层/代志/到今/我/犹/捎无/头摠/。
婚礼要用红布，气氛才会相称。	婚礼/爱/用/红布/，/气氛/才/会/斗搭/。
喷水洗地板。	溅/水/洗/涂跤/。
我看到虫蠕动爬行会起鸡皮疙瘩。	我/看着/虫/蛲蛲趖/会/起鸡母皮/。
不然你要怎么样？	无/，/你/是/欲/按怎/？
听到这些鬼故事，我一直打起冷颤。	听着/遮的/鬼仔/古/，/我/直直/起畏寒/。
讲话不可以太多废话。	讲话/毋通/伤/厚话屎/。
他那个人实在很残暴，竟然连老爸都敢打。	伊/彼个/人/有够/横逆/，/竟然/连/老爸/都/敢/拍/。
他蜷在墙角。	伊/蝹/伫/壁边/。
青菜的末端枯萎了。	青菜/的/尾仔/蔫去矣/。
这个孩子很用功。	这/个/囡仔/真/用功/。
别人都快要做完了，他才来坐享其成。	人/拢/做/甲/欲/好矣/，/伊/才/来/割稻仔尾/。
你昨天买的那枝笔不能用。	你/昨昏/买的/彼/枝/笔/袂用得/。
才几个月没见而已，你怎么会变得如此黑又瘦？	才/几/月日/无/看见/尔尔/，/你/哪/会/变/甲/遐尔/乌焦瘦/？
万一他知道这件事情，一定会发脾气的。	万一/伊/若/知影/这/件/代志/，/一定/会/起性地/。
每天少赚一、两千元。	每/工/减/趁/一两千/箍/。
你才吃一点点东西怎么会饱？	你/才/食/一点仔/物件/哪/会/饱/？
他做人很不干脆。	伊/做人/真/龟祟/。
把这些东西拿去放。	共/遮的/物仔/提/去/囥/。
那块蛋糕软绵绵的，很好吃！	彼/块/鸡卵糕/软㽎㽎/，/诚/好/食/！
你别来妨碍我。	你/莫/来/妨碍我/。
这颗橘子多汁。	这/粒/柑仔/真/有/汤/。
妳老公对妳真体贴，很会照顾妳。	恁/翁/真/体贴你/，/真/𠢕/共/你/照顾/。
这个投资案潜在危机。	这个/投资案/有/危机/伫咧/。
我们去别的地方玩。	咱/来去/别位/𨑨迌/。
他不只捐钱，还去当义工。	伊/毋但/寄付/钱/，/阁/去/做/义工/。
他正在气头上，你千万不要去招惹他。	伊/当/伫/风火头/，/你/千万/毋通/去/惹伊/。
把鼻子捏着。	共/鼻仔/捏咧/。
我肚子很饱。	我/腹肚/真/饱/。
我很佩服他。	我/真/佩服伊/。
糖果吃太多会蛀牙。	糖仔/食/伤/济/会/蛀齿/。
我被电梯门夹在中间。	我/去/予/电梯/门/挟/伫/中央/。
他为人就是一条肠子通到底，没什么心机。	伊/的/人/就/是/一/条/肠仔/迵/尻川/，/无/啥物/心机/。
她是这个歌仔剧团里的小旦。	伊/是/这/个/歌仔戏/班/的/小旦/。
条纹狗鲨最恰当的料理方式就是做鱼浆和鱼丸。	狗鲨/上/适合/的/料理/方式/就/是/做/鱼浆/佮/鱼丸/。
男人就要有男人的气概。	查埔人/就/爱/有/查埔人/的/气概/。
他盖那间房子，侵占到别人的地界。	伊/起/彼/间/厝/，/去/侵/着/别人/的/地界/。
他家淹水了。	𪜶/兜/淹水矣/。
他这个人很有趣。	伊/人/有够/心适/。
我姪女的丈夫就是我的姪女婿。	阮/查某孙/的/翁/就/是/我/的/孙婿/。
门碰的一声，大家都被吓了一跳。	门/吭/一/声/，/逐家/惊/一/趒/。
稍微估个大概。	小/掠/一个/大概仔/。
他很有内涵。	伊/足/有/内才的/。
那个人很霸道。	彼/个/人/足/霸/。
柿子没熟，吃起来很涩。	柿仔/无/熟/，/食/着/真/涩/。
他真会煎蛋，荷包蛋煎得很漂亮。	伊/真/𠢕/煎/卵/，/卵包/煎/甲/足/媠的/。
你别看他是个小不点，他力气可大着！	你/莫/看/伊/人/一疕仔/囝/，/伊/力头/真/饱喔/！
这座山崖很高。	这/个/山崁/诚/悬/。
他是真正的博士。	伊/是/正范/的/博士/。
以前人觉得生男孩子是福气。	较早/的/人/感觉/出丁/是/福气/。
你往反方向走之后，从右手边那条路出去，就到了。	你/倒头行/了后/，/对/正手爿/彼/条/路/出去/，/就/到位矣/。
如果要预防病毒，洗手要用肥皂会比较有效。	若/欲/预防/病毒/，/洗/手/着/用/雪文/会/加/较/有/效/。
有人在溪边钓鱼。	有/人/伫/溪仔墘/钓鱼/。
酱料对人体健康多少有害处。	酱料/对/人体/健康/加减/有/妨害/。
他做事业的运道不错。	伊/做/事业/的/运途/袂䆀/。
阿娥和他先生都在菜市场卖东西。	阿娥/佮/𪜶/头家/拢/伫/菜市仔/卖/物件/。
挤青春痘挤到溃烂。	挤/𤶃仔/挤/甲/烂/一/空/。
他跌到山脚下还没死，真是非常幸运！	伊/跋/落去/山跤/阁/无/死/，/真正/是/万幸/！
把字典中重要的字圈起来。	字典中/重要/的/字/共/伊/框起来/。
你现在是一定要跟我拚斗吗？	你/这马/是/一定/欲/佮/我/捙拚/是无/？
他对你特别照顾。	伊/对/你/特别/铺排/。
衣服被铁钉割破。	衫/予/钉仔/刿/破去/。
是谁答应你这件事情的？	是/啥人/允/你/这/件/代志的/？
你不能够空口无凭地诬赖别人。	你/毋通/空喙哺舌/诬赖/别人/。
有许多人对她很迷恋。	有/真/济/人/对/伊/足/迷恋的/。
这种的机会是碰巧。	这种/机会/是/拄䢢拄䢢/。
以前的计程车，有的比较不喜欢载短程的客人。	较早/的/计程车/，/有的/较/无/爱/载/短站/的/人客/。
你肚子里的火气太大了。	你/腹内/火气/伤/大/。
我能够有今天，都要感谢你的提拔。	我/会当/有/今仔日/，/拢/爱/感谢/你/的/提拔/。
听人家说这间妈祖庙的神明很灵验。	听/人/讲/这/间/妈祖庙/的/神明/真/有/灵圣/。
你要找的人就是我。	你/欲/揣/的/人/就/是/我/。
跟你说这件裤子太紧你不相信，现在裂开了啦。	共/你/讲/这/领/裤/伤/絚/你/毋/信/，/这马/裂开矣啦/。
你胆子挺大的！这种事情你竟然做得出来！	你/诚/敢呢/！/这/款/代志/你/竟然/做/会/出来/！
你没有做错事，不用怕别人投诉！	你/无/做/毋着/，/免/惊/人/投/！
他那幅画有没有入选？	伊/彼/幅/图/有/入选无/？
他整晚没睡，眼睛有点肿胀。	伊/规/暝/无/困/，/有/淡薄仔/目蚶/。
看起来人好好的，怎么常常要找医生？	看/都/好好人/，/哪会/定定/咧/揣/医生/？
你的文章写得很好，可以去投稿了。	你/的/文章/写/了/真/好/，/会使/去/投稿矣/。
帮你处理好了。	共/你/办/好势矣/。
请你一定要为我申冤。	请/你/一定/爱/替/我/申冤/。
这件事明明就是你做的，你还要争辩说你没有。	这/件/代志/现现/就/是/你/做的/，/你/阁/诤/无/。
端午节家家户户都吃肉粽。	五日节/家家户户/拢/食/肉粽/。
时代不同了。	时代/无/仝款矣/。
时间还早，你就想休息？	七早八早/，/你/就/想欲/歇困/？
农历正月正是橘子的盛产时节。	正月/时/的/柑仔/正着时/。
牙齿松脱动摇。	喙齿/𢲸𢲸搟/。
我对天发誓，绝对没骗你。	我/当/天/咒誓/，/绝对/无/骗你/。
我做事都凭良心。	我/做/代志/拢/凭良心/。
你是在说什么鬼话？	你/是/咧/讲/啥潲/？
他们是为了钱才翻脸。	𪜶/是/为着/钱/才/来/变面/。
为了一点点钱在街道上拉拉扯扯，难道不羞耻吗？	为着/一屑仔/钱/伫/街仔路/搝搝搦搦/，/敢/会/看口得/？
你今天怎么没去上学？	你/今仔日/按怎/无/去/读册/？
一命抵一命。	一/命/配/一/命/。
下雨天的时候，这条路就变得很难走。	落雨天/的/时阵/，/这/条/路/就/变/甲/真/歹/行/。
他咳得很厉害，我怕他会吐血。	伊/嗽/甲/真/厉害/，/我/惊/伊/会/吐血/。
我借他一本书。	我/借/伊/一/本/册/。
他女儿跟人家私奔。	𪜶/查某囝/缀人走/。
再讨价看能不能减价些？	阁/刣/看/会/减淡薄仔无/？
那件事情被他弄得一团糟。	彼/件/代志/予/伊/创/甲/糜糜卯卯/。
把草耙拢过来。	共/草仔/耙/倚来/。
你做人家大哥还一天到晚跟弟弟争吵，难道不害臊吗？	你/做/人/大兄/阁/一日到暗/佮/小弟/冤家量债/，/敢/袂/歹势/？
打叉做记号。	拍/叉/做/记号/。
我的事不用你多管。	我/的/代志/毋免/你/家婆/。
夫妻应该要从一而终。	翁某/着爱/透流/。
一百烛光的灯泡。	一百/烛/的/电火/。
我不爱吃排骨饭，有别的东西可吃吗？	我/无/爱/食/排骨饭/，/有/别项/通/食无/？
传统婚嫁得要张灯结彩，亲朋好友来祝贺，整个厅堂热闹哄哄。	传统/嫁娶/爱/点灯/结彩/，/亲情/朋友/来/祝贺/，/规/厅堂/闹猜猜/。
他强押我去做坏事。	伊/强/押/我/去/做/歹/代志/。
